id_file	file	page	page_typo	page_typo	date	pv
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-02-01	0
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-03-01	0
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-04-01	0
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-05-01	3
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-06-01	1
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-07-01	1
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-08-01	0
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-09-01	1
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-10-01	0
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-11-01	1
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-12-01	1
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2018-01-01	0
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2018-02-01	2
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2018-03-01	0
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2018-04-01	0
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2018-05-01	1
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2018-06-01	0
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2016-04-01	2
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2016-05-01	2
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2016-06-01	0
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2016-07-01	2
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2016-08-01	1
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2016-09-01	1
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2016-10-01	5
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2016-11-01	2
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2016-12-01	1
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2017-01-01	6
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2017-02-01	0
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2017-03-01	0
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	2017-04-01	0
