id	file	title	date	place	medium	dimensions	width	height	photographer
4059	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0022.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4060	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0023.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4061	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0024.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4062	File:ETH-BIB-Flug über die Alpen, zwischen Milano und Zürich-Weitere-LBS MH02-19-0029.tif	Flug über die Alpen, zwischen Milano und Zürich	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4063	File:ETH-BIB-Flug über die Alpen, zwischen Milano und Zürich-Weitere-LBS MH02-19-0030.tif	Flug über die Alpen, zwischen Milano und Zürich	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4064	File:ETH-BIB-Flug über die Alpen, zwischen Milano und Zürich-Weitere-LBS MH02-19-0031.tif	Flug über die Alpen, zwischen Milano und Zürich	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4065	File:ETH-BIB-Flug über die Alpen, zwischen Milano und Zürich-Weitere-LBS MH02-19-0032.tif	Flug über die Alpen, zwischen Milano und Zürich	07.06.33	Alpen; Schweiz	Fotografie : Negativ	12 x 17 cm	3.6	2.4	Walter Mittelholzer
4066	File:ETH-BIB-Flug über die Alpen, zwischen Milano und Zürich-Weitere-LBS MH02-19-0033.tif	Flug über die Alpen, zwischen Milano und Zürich	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4067	File:ETH-BIB-Flug über die Alpen, zwischen Milano und Zürich-Weitere-LBS MH02-19-0034.tif	Flug über die Alpen, zwischen Milano und Zürich	07.06.33	Alpen; Schweiz	Fotografie : Negativ	10 x 12 cm (4 x 5'')	3.6	2.4	Walter Mittelholzer
4068	File:ETH-BIB-Flug über die Alpen, zwischen Milano und Zürich-Weitere-LBS MH02-19-0035.tif	Flug über die Alpen, zwischen Milano und Zürich	07.06.33	Alpen; Schweiz	Fotografie : Negativ	10 x 12 cm (4 x 5'')	3.6	2.4	Walter Mittelholzer
4069	File:ETH-BIB-Flug über die Alpen, zwischen Milano und Zürich-Weitere-LBS MH02-19-0036.tif	Flug über die Alpen, zwischen Milano und Zürich	07.06.33	Alpen; Schweiz	Fotografie : Negativ	10 x 12 cm (4 x 5'')	3.6	2.4	Walter Mittelholzer
4070	File:ETH-BIB-Flug über die Alpen, zwischen Milano und Zürich-Weitere-LBS MH02-19-0037.tif	Flug über die Alpen, zwischen Milano und Zürich	07.06.33	Alpen; Schweiz	Fotografie : Negativ	10 x 12 cm (4 x 5'')	3.6	2.4	Walter Mittelholzer
4071	File:ETH-BIB-Flug über Dolomiten mit der Lockheed Orion (CH-168)-Weitere-LBS MH02-11-0001.tif	-	15.09.32	Trentino-Südtirol; Dolomiten	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
