0	https://commons.wikimedia.org/w/api.php?action=parse&format=json&page=Category:Media contributed by the ETH-Bibliothek/Reports/improvement	File:Aettenschwil 1953.jpg
174	File:ETH-BIB-Aadorf-LBS H1-018488.tif	User:Pingelig/Recent uploads/Canton of Thurgau/2017 June 11-20	-	user_page	89409	34717	38.8294243309
174	File:ETH-BIB-Aadorf-LBS H1-018488.tif	Commons:WikiProject Aviation/recent uploads/2017 June 15	-	wikiproject	2018649	1985133	98.3396816386
175	File:ETH-BIB-Aadorf-LBS H1-020094.tif	Commons:WikiProject Aviation/recent uploads/2017 June 15/Overflow 1	-	wikiproject	2145549	1535187	71.5521761563
176	File:ETH-BIB-Aadorf-LBS H1-023391.tif	Commons:WikiProject Aviation/recent uploads/2017 June 20	-	wikiproject	1453898	103965	7.1507767395
178	File:ETH-BIB-Aadorf-LBS H1-028252.tif	Commons:WikiProject Aviation/recent uploads/2017 July 10	-	wikiproject	1035705	680032	65.6588507345
179	File:ETH-BIB-Aadorf-LBS H1-028253.tif	Commons:WikiProject Aviation/recent uploads/2017 July 10	-	wikiproject	1035705	680898	65.7424652773
185	File:ETH-BIB-Aarau aus 400 m-Inlandflüge-LBS MH01-000509.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	-	wikiproject	2123549	1569571	73.9126339915
189	File:ETH-BIB-Aarau mit Stadthaus-Inlandflüge-LBS MH01-000115.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	-	wikiproject	2123549	1147595	54.0413713081
190	File:ETH-BIB-Aarau v. S. O. aus 500 m-Inlandflüge-LBS MH01-006041.tif	Commons:WikiProject Aviation/recent uploads/2017 February 4	-	wikiproject	1106757	689348	62.2853977883
191	File:ETH-BIB-Aarau v. S. O. aus 600 m-Inlandflüge-LBS MH01-006040.tif	Commons:WikiProject Aviation/recent uploads/2017 February 4	-	wikiproject	1106757	690506	62.3900278019
192	File:ETH-BIB-Aarau, Abbruch der Kettenbrücke-LBS H1-011138.tif	Commons:WikiProject Aviation/recent uploads/2017 June 9	-	wikiproject	2015535	624346	30.9766885715
193	File:ETH-BIB-Aarau, Altstadt aus 200 m-Inlandflüge-LBS MH01-002220.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	-	wikiproject	2609266	190490	7.30052052953
194	File:ETH-BIB-Aarau, Altstadt v. W. aus 500 m-Inlandflüge-LBS MH01-000507.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	-	wikiproject	2123549	1567332	73.807197291
199	File:ETH-BIB-Aarau, Altstadt-LBS H1-013056.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	453985	22.7005212292
200	File:ETH-BIB-Aarau, Altstadt-LBS H1-013057.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	454935	22.7480238893
201	File:ETH-BIB-Aarau, Altstadt-LBS H1-013058.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	455887	22.7956265551
202	File:ETH-BIB-Aarau, Altstadt-LBS H1-013991.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	1402453	70.1265770883
203	File:ETH-BIB-Aarau, Altstadt-LBS H1-013992.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	1403403	70.1740797485
204	File:ETH-BIB-Aarau, Altstadt-LBS H1-014433.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	1842180	92.1141583929
