id	fle	w	c	o	tot
325	File:ETH-BIB-Aarburg, Säli, Wartburghöf aus 100 m-Inlandflüge-LBS MH01-000807.tif	0	1	0	1
326	File:ETH-BIB-Aarburg, Sälischloss, Olten aus 500 m-Inlandflüge-LBS MH01-004408.tif	0	1	0	1
323	File:ETH-BIB-Aarburg, Stickerei Zimmerli-Inlandflüge-LBS MH03-0021.tif	0	1	0	1
324	File:ETH-BIB-Aarburg, Strandbad-Inlandflüge-LBS MH03-1112.tif	0	1	0	1
329	File:ETH-BIB-Aarburg, Übersicht v. S. aus 500 m-Inlandflüge-LBS MH01-002905.tif	0	1	0	1
327	File:ETH-BIB-Aarburg, Weber & Co, Baumwollspinnerei und Weberei-Inlandflüge-LBS MH03-0019.tif	0	1	0	1
328	File:ETH-BIB-Aarburg, Zentrum aus 400 m-Inlandflüge-LBS MH01-000501.tif	0	1	0	1
338	File:ETH-BIB-Aare bei Büren-Inlandflüge-LBS MH01-006763.tif	1	1	0	2
340	File:ETH-BIB-Aare Inseli bei Altreu-LBS H1-019182.tif	0	1	0	1
349	File:ETH-BIB-Aarelauf bei Oltigen-Inlandflüge-LBS MH01-006783.tif	0	1	0	1
348	File:ETH-BIB-Aarelauf bei Oltigen, Wohlensee-Inlandflüge-LBS MH01-006784.tif	0	1	0	1
350	File:ETH-BIB-Aarelauf zwischen Solothurn und Biel-LBS H1-016056.tif	0	1	0	1
351	File:ETH-BIB-Aarelauf zwischen Solothurn und Grenchen-LBS H1-015163.tif	0	1	0	1
352	File:ETH-BIB-Aareschlucht bei Innertkirchen-LBS H1-012402.tif	0	1	0	1
355	File:ETH-BIB-Aaretal zwischen Aarau und Wildegg-Inlandflüge-LBS MH03-1867.tif	0	1	0	1
356	File:ETH-BIB-Aaretal, Grenchen, Bielersee v. O. aus 2000 m-Inlandflüge-LBS MH01-004066.tif	0	1	0	1
359	File:ETH-BIB-Aarwangen aus 300 m-Inlandflüge-LBS MH01-002992.tif	0	1	0	1
367	File:ETH-BIB-Aarwangen-LBS H1-013577.tif	0	1	0	1
369	File:ETH-BIB-Aarwangen-LBS H1-021172.tif	0	1	0	1
370	File:ETH-BIB-Aarwangen-LBS H1-021173.tif	0	1	0	1
376	File:ETH-BIB-Aarwangen-LBS H1-029661.tif	0	1	0	1
360	File:ETH-BIB-Aarwangen, Burg Aarwangen-LBS H1-010653.tif	0	1	0	1
361	File:ETH-BIB-Aarwangen, Ernst & Cie. Handstrickgarnfabrik-Inlandflüge-LBS MH03-0022.tif	0	1	0	1
362	File:ETH-BIB-Aarwangen, Langenthal v. N. O. aus 3000 m-Inlandflüge-LBS MH01-003185.tif	0	1	0	1
