100	ETH-BIB-Hammerfest_aus_200_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0057-AL-FL.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
101	ETH-BIB-Hammerfest_aus_100_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0060.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
102	ETH-BIB-Fjord_von_Hammerfest_aus_200_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0062.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
103	ETH-BIB-Kingsbai_mit_Kohlenmine,_Englischbai_und_Prinz_Karl_Vorland_von_Norden_aus_1700_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0032.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
104	ETH-BIB-Kingsbai_mit_Kohlenmine,_Englischbai_und_Prinz_Karl_Vorland_von_Norden_aus_1700_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0032.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
105	ETH-BIB-Kingsbai_mit_Zeppelinhafen_und_Prinz_Karl_Vorland_von_Nord-Osten_aus_1700_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0040-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
106	ETH-BIB-Kingsbai_mit_Zeppelinhafen_und_Prinz_Karl_Vorland_von_Nord-Osten_aus_1700_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0040-A.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
107	ETH-BIB-Crossbai_mit_Abeltofthafen_-_Kap_Mitra_von_Nord-Osten_aus_1600_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0036-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
108	ETH-BIB-Crossbai_mit_Abeltofthafen_-_Kap_Mitra_von_Nord-Osten_aus_1600_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0036-A.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
109	ETH-BIB-Kingsbai_mit_Quade_Huk_und_Prinz_Karl_Vorland_von_Norden_aus_1700_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0038.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
110	ETH-BIB-Kingsbai_mit_Quade_Huk_und_Prinz_Karl_Vorland_von_Norden_aus_1700_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0038.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
111	ETH-BIB-Kingsgletscher_mit_Kingsbai_und_Blomstrand_von_Osten_aus_1700_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0039.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
112	ETH-BIB-Kingsbai_mit_Kingsgletscher_und_Lovenfirnen_von_Osten_aus_1700_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0041.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
113	ETH-BIB-Lilliehöökgletscher_mit_Crossbai_Huk_und_Prinz_Karl_Vorland_von_Norden_aus_1600_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0034.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
114	ETH-BIB-Lilliehöökgletscher_mit_Crossbai_Huk_und_Prinz_Karl_Vorland_von_Norden_aus_1600_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0034.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
115	ETH-BIB-Cross-_und_Möllerbai_mit_König_Haakon_Berg_und_Lilliehookgletscher_von_Süden_aus_1600_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0035.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
116	ETH-BIB-Cross-_und_Möllerbai_mit_König_Haakon_Berg_und_Lilliehookgletscher_von_Süden_aus_1600_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0035.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
117	ETH-BIB-Carsbai,_Vorlandsund,_Prinz_Karl_Vorland_mit_Mt._Monaca_von_Osten-Spitzbergenflug_1923-LBS_MH02-01-0036.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
118	ETH-BIB-Carsbai,_Vorlandsund,_Prinz_Karl_Vorland_mit_Mt._Monaca_von_Osten-Spitzbergenflug_1923-LBS_MH02-01-0036.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
119	ETH-BIB-Mt._Holta_mit_Prinz_Karl_Vorland,_Mt._Monaco_von_Nord-Osten_aus_1200_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0037.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
120	ETH-BIB-Newtontoppen_(Chrydeniusgebirge)_von_Norden_aus_1700_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0013-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
121	ETH-BIB-Panorama_von_Tromsdalstind_oberhalb_Tromsö_(Norwegen)-Spitzbergenflug_1923-LBS_MH02-01-0003.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
122	ETH-BIB-Panorama_von_Tromsdalstind_oberhalb_Tromsö_(Norwegen)-Spitzbergenflug_1923-LBS_MH02-01-0002.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
