203	File:ETH-BIB-Abessinische Musiker mit Streichinstrumenten-Abessinienflug 1934-LBS MH02-22-0721.tif	57218905	4648	4095
204	File:ETH-BIB-Abessinische Musiker und Tänzer-Abessinienflug 1934-LBS MH02-22-0715.tif	54889627	4165	4382
205	File:ETH-BIB-Abessinische Musiker und Tänzer-Abessinienflug 1934-LBS MH02-22-0716.tif	54977303	4167	4387
206	File:ETH-BIB-Abessinische Musiker und Tänzer-Abessinienflug 1934-LBS MH02-22-0717.tif	54874367	4163	4383
207	File:ETH-BIB-Abessinische Musiker und Tänzer-Abessinienflug 1934-LBS MH02-22-0718.tif	54887578	4164	4381
208	File:ETH-BIB-Abessinische Musiker und Tänzer-Abessinienflug 1934-LBS MH02-22-0719.tif	54946492	4170	4381
209	File:ETH-BIB-Abessinische Musiker und Tänzer-Abessinienflug 1934-LBS MH02-22-0723.tif	54223488	4167	4329
210	File:ETH-BIB-Abessinische Musiker und Tänzer-Abessinienflug 1934-LBS MH02-22-0724.tif	54851539	4167	4377
211	File:ETH-BIB-Abessinische Musiker und Tänzer-Abessinienflug 1934-LBS MH02-22-0725.tif	54838011	4162	4381
212	File:ETH-BIB-Abessinische Musiker und Tänzer-Abessinienflug 1934-LBS MH02-22-0726.tif	54932662	4168	4379
213	File:ETH-BIB-Abessinische Männer und Kinder-Abessinienflug 1934-LBS MH02-22-0455.tif	53078205	4961	3559
214	File:ETH-BIB-Abessinische Männern stehen um ein Auto-Abessinienflug 1934-LBS MH02-22-0309.tif	52834077	4078	4307
215	File:ETH-BIB-Abessinische Richter mit Gewehren-Abessinienflug 1934-LBS MH02-22-0593.tif	56121467	4221	4424
216	File:ETH-BIB-Abessinische Soldaten und Schweizer Kameramann-Abessinienflug 1934-LBS MH02-22-1005.tif	49896462	4961	3346
217	File:ETH-BIB-Abessinische Soldaten und Schweizer Kameramann-Abessinienflug 1934-LBS MH02-22-1006.tif	49748158	4961	3337
218	File:ETH-BIB-Abessinische Soldaten-Abessinienflug 1934-LBS MH02-22-0689.tif	56633435	4222	4463
219	File:ETH-BIB-Abessinische Soldaten-Abessinienflug 1934-LBS MH02-22-1004.tif	49932588	4961	3349
220	File:ETH-BIB-Abessinische Soldaten-Abessinienflug 1934-LBS MH02-22-1010.tif	49594251	4961	3325
221	File:ETH-BIB-Abessinische Würdenträger-Abessinienflug 1934-LBS MH02-22-0622.tif	55804934	4247	4373
222	File:ETH-BIB-Abessinischer Jüngling der Landschaft von Schoa-Abessinienflug 1934-LBS MH02-22-0286.tif	52554613	4066	4297
223	File:ETH-BIB-Abessinischer Jüngling, Landschaft von Schoa-Abessinienflug 1934-LBS MH02-22-0288.tif	52821769	4082	4306
224	File:ETH-BIB-Abessinischer Knabe wird fotografiert-Abessinienflug 1934-LBS MH02-22-0307.tif	52970313	4092	4305
225	File:ETH-BIB-Abessinischer Knabe wird fotografiert-Abessinienflug 1934-LBS MH02-22-0308.tif	52685790	4067	4309
226	File:ETH-BIB-Abessinischer Knabe wird fotografiert-Abessinienflug 1934-LBS MH02-22-0310.tif	52816655	4078	4305
227	File:ETH-BIB-Abessinischer Knabe wird fotografiert-Abessinienflug 1934-LBS MH02-22-0311.tif	52932191	4083	4312
